Timestamp,DeviceName,AccountName,ActionType,RemoteIP,RemotePort,RemoteUrl,InitiatingProcessCommandLine,InitiatingProcessSHA256
2 Jul 2025 11:26:02 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,18.160.46.54,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:03 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,18.160.54.154,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:06 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,151.101.44.157,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:06 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,150.171.22.12,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:06 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,142.251.167.97,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:06 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,172.66.0.227,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,146.75.29.140,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,23.214.230.77,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,3.171.76.20,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
2 Jul 2025 11:26:07 PM,fin-w10-wks-8,jnguyen.admin,ConnectionSuccess,142.251.16.97,443,,"""msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2540,i,4331147840342403537,671004024264226208,262144 --variations-seed-version --mojo-platform-channel-handle=2568 /prefetch:3",6922c501d80bacf892e303a54b6bab161e07ccc82070f5a682b939b805f7c399
